invoice_month_start,country,product_category,customer_order_type,revenue,orders,quantity,active_customers
2010-12-01,EIRE,Stationery & Crafts,Unknown,51.0,2,60,0
2010-12-01,EIRE,Storage & Organization,New,953.1,11,440,3
2010-12-01,EIRE,Storage & Organization,Unknown,75.6,1,72,0
2010-12-01,EIRE,Toys & Kids,New,56.400000000000006,3,28,1
2010-12-01,Finland,Fees & Adjustments,New,240.0,1,6,1
2010-12-01,Finland,Holiday & Seasonal,New,63.599999999999994,1,144,1
2010-12-01,Finland,Home Decor & Lighting,New,148.8,1,192,1
2010-12-01,Finland,Kitchen & Dining,New,63.599999999999994,1,144,1
2010-12-01,Finland,Miscellaneous,New,104.39999999999999,1,360,1
2010-12-01,Finland,Stationery & Crafts,New,145.2,1,120,1
2010-12-01,Finland,Storage & Organization,New,127.2,1,288,1
2010-12-01,France,Accessories & Fashion,New,25.26,1,42,1
2010-12-01,France,Fees & Adjustments,New,1086.0,18,53,13
2010-12-01,France,Garden & Outdoor,New,286.85,4,49,3
2010-12-01,France,Holiday & Seasonal,New,194.5,8,132,6
2010-12-01,France,Home Decor & Lighting,New,2099.92,16,1030,13
2010-12-01,France,Kitchen & Dining,New,1706.0800000000002,14,826,10
2010-12-01,France,Miscellaneous,New,1410.03,15,1270,11
2010-12-01,France,Party & Gift,New,271.26,5,210,5
2010-12-01,France,Stationery & Crafts,New,374.33,12,412,9
2010-12-01,France,Storage & Organization,New,1816.05,15,852,11
2010-12-01,France,Toys & Kids,New,346.03,8,113,8
2010-12-01,Germany,Accessories & Fashion,New,128.76,3,84,3
2010-12-01,Germany,Fees & Adjustments,New,1962.0,26,109,17
2010-12-01,Germany,Garden & Outdoor,New,172.0,4,24,4
2010-12-01,Germany,Holiday & Seasonal,New,503.35,6,425,5
2010-12-01,Germany,Home Decor & Lighting,New,1990.07,22,1049,15
2010-12-01,Germany,Kitchen & Dining,New,3187.62,19,1135,16
2010-12-01,Germany,Miscellaneous,New,2526.63,21,1206,14
2010-12-01,Germany,Party & Gift,New,183.22,8,334,7
2010-12-01,Germany,Stationery & Crafts,New,841.18,16,874,12
2010-12-01,Germany,Storage & Organization,New,3381.63,25,1482,17
2010-12-01,Germany,Toys & Kids,New,364.68,8,155,7
2010-12-01,Iceland,Home Decor & Lighting,New,233.7,1,110,1
2010-12-01,Iceland,Kitchen & Dining,New,93.0,1,24,1
2010-12-01,Iceland,Miscellaneous,New,112.13999999999999,1,54,1
2010-12-01,Iceland,Stationery & Crafts,New,70.80000000000001,1,24,1
2010-12-01,Iceland,Storage & Organization,New,202.15,1,107,1
2010-12-01,Italy,Fees & Adjustments,New,161.0,2,5,2
2010-12-01,Italy,Garden & Outdoor,New,35.7,1,6,1
2010-12-01,Italy,Holiday & Seasonal,New,35.400000000000006,1,12,1
2010-12-01,Italy,Home Decor & Lighting,New,325.3,2,150,2
2010-12-01,Italy,Kitchen & Dining,New,195.75,2,53,2
2010-12-01,Italy,Miscellaneous,New,31.95,1,21,1
2010-12-01,Italy,Storage & Organization,New,26.4,1,48,1
2010-12-01,Japan,Accessories & Fashion,New,20.4,1,24,1
2010-12-01,Japan,Garden & Outdoor,New,34.8,1,24,1
2010-12-01,Japan,Holiday & Seasonal,New,359.8,2,220,2
2010-12-01,Japan,Home Decor & Lighting,New,498.84000000000003,2,372,2
2010-12-01,Japan,Kitchen & Dining,New,395.04,2,256,2
2010-12-01,Japan,Miscellaneous,New,815.97,2,439,2
2010-12-01,Japan,Stationery & Crafts,New,745.02,2,710,2
2010-12-01,Japan,Storage & Organization,New,4733.44,3,1952,3
2010-12-01,Japan,Toys & Kids,New,101.76,1,96,1
2010-12-01,Lithuania,Garden & Outdoor,New,214.20000000000002,1,36,1
2010-12-01,Lithuania,Holiday & Seasonal,New,210.2,3,94,1
2010-12-01,Lithuania,Home Decor & Lighting,New,106.8,1,48,1
2010-12-01,Lithuania,Kitchen & Dining,New,118.8,1,72,1
2010-12-01,Lithuania,Miscellaneous,New,39.6,1,24,1
2010-12-01,Lithuania,Stationery & Crafts,New,554.16,2,168,1
2010-12-01,Lithuania,Storage & Organization,New,358.8,3,192,1
2010-12-01,Lithuania,Toys & Kids,New,58.5,1,18,1
2010-12-01,Netherlands,Fees & Adjustments,New,30.0,2,2,2
2010-12-01,Netherlands,Garden & Outdoor,New,250.0,1,200,1
2010-12-01,Netherlands,Holiday & Seasonal,New,618.48,1,504,1
2010-12-01,Netherlands,Home Decor & Lighting,New,1637.1000000000001,3,1222,2
2010-12-01,Netherlands,Kitchen & Dining,New,1954.37,2,773,1
2010-12-01,Netherlands,Miscellaneous,New,871.55,2,1190,1
2010-12-01,Netherlands,Party & Gift,New,181.44,1,864,1
2010-12-01,Netherlands,Stationery & Crafts,New,854.64,1,264,1
2010-12-01,Netherlands,Storage & Organization,New,2262.1,2,1600,1
2010-12-01,Netherlands,Toys & Kids,New,124.8,1,192,1
2010-12-01,Norway,Accessories & Fashion,New,79.2,2,48,1
2010-12-01,Norway,Garden & Outdoor,New,101.76,1,96,1
2010-12-01,Norway,Home Decor & Lighting,New,967.98,2,594,1
2010-12-01,Norway,Kitchen & Dining,New,715.3,2,618,1
2010-12-01,Norway,Miscellaneous,New,581.4,2,1194,1
2010-12-01,Norway,Stationery & Crafts,New,30.240000000000002,2,72,1
2010-12-01,Norway,Storage & Organization,New,1065.48,2,784,1
2010-12-01,Norway,Toys & Kids,New,245.76000000000002,2,176,1
2010-12-01,Poland,Home Decor & Lighting,New,134.76,1,68,1
2010-12-01,Poland,Kitchen & Dining,New,29.0,1,20,1
2010-12-01,Poland,Miscellaneous,New,54.4,1,28,1
2010-12-01,Poland,Storage & Organization,New,30.0,1,24,1
2010-12-01,Portugal,Accessories & Fashion,New,106.5,2,30,2
2010-12-01,Portugal,Fees & Adjustments,New,392.0,6,14,6
2010-12-01,Portugal,Garden & Outdoor,New,50.94,1,38,1
2010-12-01,Portugal,Home Decor & Lighting,New,333.8,4,142,4
2010-12-01,Portugal,Kitchen & Dining,New,253.10000000000002,3,86,3
2010-12-01,Portugal,Miscellaneous,New,506.58000000000004,5,237,5
2010-12-01,Portugal,Party & Gift,New,10.2,1,12,1
2010-12-01,Portugal,Stationery & Crafts,New,112.80000000000001,5,92,5
2010-12-01,Portugal,Storage & Organization,New,524.05,6,271,6
2010-12-01,Portugal,Toys & Kids,New,150.0,2,62,2
2010-12-01,Spain,Accessories & Fashion,New,2.1,1,1,1
2010-12-01,Spain,Fees & Adjustments,New,140.0,1,5,1
2010-12-01,Spain,Garden & Outdoor,New,79.6,1,8,1
2010-12-01,Spain,Holiday & Seasonal,New,23.75,1,23,1
2010-12-01,Spain,Home Decor & Lighting,New,339.12,3,194,3
2010-12-01,Spain,Kitchen & Dining,New,226.8,2,32,2
2010-12-01,Spain,Miscellaneous,New,182.8,2,38,2
2010-12-01,Spain,Party & Gift,New,3.85,1,5,1
2010-12-01,Spain,Stationery & Crafts,New,20.16,1,48,1
2010-12-01,Spain,Storage & Organization,New,825.55,4,513,4
2010-12-01,Sweden,Home Decor & Lighting,New,607.17,1,1443,1
2010-12-01,Sweden,Kitchen & Dining,New,414.0,1,432,1
2010-12-01,Sweden,Miscellaneous,New,362.88,1,432,1
2010-12-01,Sweden,Stationery & Crafts,New,462.6,1,324,1
2010-12-01,Sweden,Storage & Organization,New,1778.85,2,1179,1
2010-12-01,Sweden,Toys & Kids,New,208.8,1,144,1
2010-12-01,Switzerland,Fees & Adjustments,New,80.0,1,2,1
2010-12-01,Switzerland,Home Decor & Lighting,New,271.8,2,108,2
2010-12-01,Switzerland,Kitchen & Dining,New,386.0,2,140,2
2010-12-01,Switzerland,Miscellaneous,New,120.0,1,168,1
2010-12-01,Switzerland,Stationery & Crafts,New,38.04,1,84,1
2010-12-01,Switzerland,Storage & Organization,New,399.0,2,188,2
2010-12-01,Switzerland,Toys & Kids,New,10.08,1,24,1
2010-12-01,United Kingdom,Accessories & Fashion,New,3464.06,168,2620,142
2010-12-01,United Kingdom,Accessories & Fashion,Unknown,2670.65,45,704,0
2010-12-01,United Kingdom,Fees & Adjustments,New,308.17,25,198,22
2010-12-01,United Kingdom,Fees & Adjustments,Unknown,40464.61,59,62,0
2010-12-01,United Kingdom,Garden & Outdoor,New,7053.88,243,3028,211
2010-12-01,United Kingdom,Garden & Outdoor,Unknown,2583.93,42,422,0
2010-12-01,United Kingdom,Holiday & Seasonal,New,24920.86,501,17926,386
2010-12-01,United Kingdom,Holiday & Seasonal,Unknown,18231.92,84,5780,0
2010-12-01,United Kingdom,Home Decor & Lighting,New,195306.41,1093,95719,748
2010-12-01,United Kingdom,Home Decor & Lighting,Unknown,56008.61,108,11977,0
2010-12-01,United Kingdom,Kitchen & Dining,New,90198.31,907,35342,640
2010-12-01,United Kingdom,Kitchen & Dining,Unknown,61933.38,103,9702,0
2010-12-01,United Kingdom,Miscellaneous,New,62640.44,886,39140,630
2010-12-01,United Kingdom,Miscellaneous,Unknown,24654.57,103,5625,0
2010-12-01,United Kingdom,Party & Gift,New,9489.53,257,8446,223
2010-12-01,United Kingdom,Party & Gift,Unknown,1722.93,39,881,0
2010-12-01,United Kingdom,Stationery & Crafts,New,20742.51,543,20471,441
2010-12-01,United Kingdom,Stationery & Crafts,Unknown,8026.24,76,3032,0
2010-12-01,United Kingdom,Storage & Organization,New,79445.54,851,42623,607
2010-12-01,United Kingdom,Storage & Organization,Unknown,31165.87,89,7607,0
2010-12-01,United Kingdom,Toys & Kids,New,5092.14,216,2254,193
2010-12-01,United Kingdom,Toys & Kids,Unknown,2144.42,53,601,0
2011-01-01,Australia,Holiday & Seasonal,New,570.78,2,394,2
2011-01-01,Australia,Home Decor & Lighting,New,2604.15,4,841,4
2011-01-01,Australia,Home Decor & Lighting,Repeat,227.3,1,48,1
2011-01-01,Australia,Kitchen & Dining,New,1271.36,5,1168,4
2011-01-01,Australia,Kitchen & Dining,Repeat,64.28,1,44,1
2011-01-01,Australia,Miscellaneous,New,1283.64,3,1252,3
2011-01-01,Australia,Miscellaneous,Repeat,236.1,2,158,2
2011-01-01,Australia,Party & Gift,New,177.00000000000003,1,60,1
2011-01-01,Australia,Stationery & Crafts,New,435.90000000000003,3,282,3
2011-01-01,Australia,Storage & Organization,New,1464.8,5,957,5
2011-01-01,Australia,Toys & Kids,New,682.4000000000001,2,440,2
2011-01-01,Belgium,Accessories & Fashion,New,11.7,1,6,1
2011-01-01,Belgium,Fees & Adjustments,New,30.0,1,2,1
2011-01-01,Belgium,Fees & Adjustments,Repeat,90.0,2,6,2
2011-01-01,Belgium,Garden & Outdoor,Repeat,25.5,1,2,1
2011-01-01,Belgium,Holiday & Seasonal,New,9.9,1,6,1
2011-01-01,Belgium,Holiday & Seasonal,Repeat,17.700000000000003,1,6,1
2011-01-01,Belgium,Home Decor & Lighting,New,19.5,1,10,1
2011-01-01,Belgium,Home Decor & Lighting,Repeat,73.4,2,22,2
2011-01-01,Belgium,Kitchen & Dining,Repeat,192.45,2,111,2
2011-01-01,Belgium,Miscellaneous,Repeat,239.4,2,384,2
2011-01-01,Belgium,Stationery & Crafts,New,17.700000000000003,1,6,1
2011-01-01,Belgium,Stationery & Crafts,Repeat,17.700000000000003,1,6,1
2011-01-01,Belgium,Storage & Organization,New,136.8,1,64,1
2011-01-01,Belgium,Storage & Organization,Repeat,268.05,2,137,2
2011-01-01,Belgium,Toys & Kids,Repeat,50.400000000000006,1,24,1
2011-01-01,Channel Islands,Home Decor & Lighting,New,412.75,1,81,1
2011-01-01,Channel Islands,Miscellaneous,New,138.85,1,47,1
2011-01-01,Channel Islands,Party & Gift,New,13.0,1,20,1
2011-01-01,Channel Islands,Stationery & Crafts,New,31.5,1,75,1
2011-01-01,Channel Islands,Storage & Organization,New,69.4,1,12,1
2011-01-01,Channel Islands,Toys & Kids,New,10.08,1,24,1
2011-01-01,Cyprus,Home Decor & Lighting,New,124.35000000000001,1,81,1
2011-01-01,Cyprus,Kitchen & Dining,New,92.1,1,14,1
2011-01-01,Cyprus,Miscellaneous,New,265.0,1,14,1
2011-01-01,Cyprus,Party & Gift,New,20.0,1,16,1
2011-01-01,Cyprus,Storage & Organization,New,14.85,1,3,1
2011-01-01,Cyprus,Toys & Kids,New,31.2,1,16,1
2011-01-01,EIRE,Accessories & Fashion,Repeat,141.2,3,56,1
2011-01-01,EIRE,Fees & Adjustments,Repeat,200.0,4,4,1
2011-01-01,EIRE,Garden & Outdoor,Repeat,39.9,2,18,1
2011-01-01,EIRE,Holiday & Seasonal,Repeat,499.8,2,204,2
2011-01-01,EIRE,Home Decor & Lighting,Repeat,4800.490000000001,7,2036,2
2011-01-01,EIRE,Kitchen & Dining,Repeat,6657.28,6,2264,2
2011-01-01,EIRE,Miscellaneous,Repeat,1121.53,7,623,2
2011-01-01,EIRE,Stationery & Crafts,Repeat,1964.58,3,1019,2
2011-01-01,EIRE,Storage & Organization,Repeat,6112.21,5,2426,2
2011-01-01,EIRE,Toys & Kids,Repeat,367.2,1,144,1
2011-01-01,Finland,Fees & Adjustments,New,80.0,1,2,1
2011-01-01,Finland,Fees & Adjustments,Repeat,40.0,1,1,1
2011-01-01,Finland,Home Decor & Lighting,Repeat,62.16,1,168,1
2011-01-01,Finland,Kitchen & Dining,New,581.58,1,162,1
2011-01-01,Finland,Miscellaneous,Repeat,125.28,1,432,1
2011-01-01,France,Accessories & Fashion,New,43.11000000000001,2,45,2
2011-01-01,France,Accessories & Fashion,Repeat,1046.9100000000003,5,249,3
2011-01-01,France,Fees & Adjustments,New,990.0,15,55,14
2011-01-01,France,Fees & Adjustments,Repeat,576.0,9,32,6
2011-01-01,France,Garden & Outdoor,New,213.9,8,22,7
2011-01-01,France,Garden & Outdoor,Repeat,142.8,1,24,1
2011-01-01,France,Holiday & Seasonal,New,24.9,2,18,2
2011-01-01,France,Holiday & Seasonal,Repeat,29.700000000000003,2,18,2
2011-01-01,France,Home Decor & Lighting,New,1358.77,15,753,14
2011-01-01,France,Home Decor & Lighting,Repeat,1535.86,10,646,7
2011-01-01,France,Kitchen & Dining,New,1604.78,14,752,14
2011-01-01,France,Kitchen & Dining,Repeat,1627.56,10,808,7
2011-01-01,France,Miscellaneous,New,1666.62,15,1106,14
2011-01-01,France,Miscellaneous,Repeat,1303.54,9,1206,6
2011-01-01,France,Party & Gift,New,50.7,4,42,4
2011-01-01,France,Party & Gift,Repeat,307.36,5,328,5
2011-01-01,France,Stationery & Crafts,New,602.1600000000001,9,437,9
2011-01-01,France,Stationery & Crafts,Repeat,233.46,8,352,6
2011-01-01,France,Storage & Organization,New,1781.4,14,982,13
2011-01-01,France,Storage & Organization,Repeat,1890.35,9,1034,6
2011-01-01,France,Toys & Kids,New,339.74,9,156,8
2011-01-01,France,Toys & Kids,Repeat,370.5,5,134,4
2011-01-01,Germany,Accessories & Fashion,New,159.15,6,57,6
2011-01-01,Germany,Accessories & Fashion,Repeat,17.700000000000003,1,6,1
2011-01-01,Germany,Fees & Adjustments,New,1062.0,21,59,18
2011-01-01,Germany,Fees & Adjustments,Repeat,522.0,8,29,8
2011-01-01,Germany,Garden & Outdoor,New,105.5,3,106,2
2011-01-01,Germany,Garden & Outdoor,Repeat,47.75,2,5,2
2011-01-01,Germany,Holiday & Seasonal,New,188.99999999999997,4,132,4
2011-01-01,Germany,Home Decor & Lighting,New,1632.88,18,945,17
2011-01-01,Germany,Home Decor & Lighting,Repeat,571.9300000000001,6,273,6
2011-01-01,Germany,Kitchen & Dining,New,2071.85,15,1077,14
2011-01-01,Germany,Kitchen & Dining,Repeat,2150.39,9,635,9
2011-01-01,Germany,Miscellaneous,New,1206.27,15,1096,14
2011-01-01,Germany,Miscellaneous,Repeat,672.4,7,370,7
2011-01-01,Germany,Party & Gift,New,399.98,9,370,9
2011-01-01,Germany,Party & Gift,Repeat,140.52,5,84,5
2011-01-01,Germany,Stationery & Crafts,New,901.34,12,1050,12
2011-01-01,Germany,Stationery & Crafts,Repeat,331.21999999999997,7,323,7
2011-01-01,Germany,Storage & Organization,New,2997.56,21,1595,18
2011-01-01,Germany,Storage & Organization,Repeat,1179.04,9,634,9
2011-01-01,Germany,Toys & Kids,New,512.56,11,227,9
2011-01-01,Germany,Toys & Kids,Repeat,39.8,1,4,1
2011-01-01,Greece,Home Decor & Lighting,New,1399.8,1,300,1
2011-01-01,Greece,Kitchen & Dining,New,613.54,1,134,1
2011-01-01,Greece,Miscellaneous,New,338.9,1,32,1
2011-01-01,Greece,Stationery & Crafts,New,70.80000000000001,1,24,1
2011-01-01,Greece,Storage & Organization,New,238.20000000000002,1,36,1
2011-01-01,Hong Kong,Home Decor & Lighting,Unknown,176.7,1,114,0
2011-01-01,Hong Kong,Kitchen & Dining,Unknown,503.16,1,212,0
2011-01-01,Hong Kong,Miscellaneous,Unknown,295.42,1,246,0
2011-01-01,Hong Kong,Party & Gift,Unknown,293.40000000000003,1,108,0
2011-01-01,Hong Kong,Stationery & Crafts,Unknown,50.88,1,40,0
2011-01-01,Hong Kong,Storage & Organization,Unknown,858.3,1,346,0
2011-01-01,Hong Kong,Toys & Kids,Unknown,261.9,1,55,0
2011-01-01,Iceland,Home Decor & Lighting,Repeat,176.64,1,134,1
2011-01-01,Iceland,Kitchen & Dining,Repeat,107.15,1,49,1
2011-01-01,Iceland,Miscellaneous,Repeat,62.5,1,38,1
2011-01-01,Iceland,Stationery & Crafts,Repeat,43.2,1,24,1
2011-01-01,Iceland,Storage & Organization,Repeat,85.9,1,70,1
2011-01-01,Israel,Home Decor & Lighting,Unknown,83.3,1,14,0
2011-01-01,Israel,Kitchen & Dining,Unknown,71.74000000000001,1,34,0
2011-01-01,Israel,Miscellaneous,Unknown,44.1,1,6,0
2011-01-01,Israel,Party & Gift,Unknown,57.900000000000006,1,18,0
2011-01-01,Israel,Stationery & Crafts,Unknown,15.0,1,4,0
2011-01-01,Israel,Storage & Organization,Unknown,107.80000000000001,1,24,0
2011-01-01,Italy,Accessories & Fashion,New,46.8,1,24,1
2011-01-01,Italy,Fees & Adjustments,New,336.0,3,12,3
2011-01-01,Italy,Garden & Outdoor,New,30.0,1,24,1
2011-01-01,Italy,Home Decor & Lighting,New,556.37,3,285,3
2011-01-01,Italy,Kitchen & Dining,New,591.1,3,250,3
2011-01-01,Italy,Miscellaneous,New,214.44,3,204,3
2011-01-01,Italy,Stationery & Crafts,New,53.10000000000001,1,18,1
2011-01-01,Italy,Storage & Organization,New,406.7,3,200,3
2011-01-01,Italy,Toys & Kids,New,168.0,2,104,2
2011-01-01,Lebanon,Garden & Outdoor,New,115.2,1,32,1
2011-01-01,Lebanon,Holiday & Seasonal,New,15.0,1,12,1
2011-01-01,Lebanon,Home Decor & Lighting,New,532.9300000000001,1,141,1
2011-01-01,Lebanon,Kitchen & Dining,New,273.1,1,34,1
2011-01-01,Lebanon,Miscellaneous,New,323.7,1,74,1
2011-01-01,Lebanon,Stationery & Crafts,New,35.400000000000006,1,12,1
2011-01-01,Lebanon,Storage & Organization,New,398.55,1,81,1
2011-01-01,Netherlands,Fees & Adjustments,New,15.0,1,1,1
2011-01-01,Netherlands,Holiday & Seasonal,Repeat,336.0,2,160,1
2011-01-01,Netherlands,Home Decor & Lighting,New,15.0,1,12,1
2011-01-01,Netherlands,Home Decor & Lighting,Repeat,3996.46,3,2698,1
2011-01-01,Netherlands,Kitchen & Dining,Repeat,3237.2400000000002,3,2508,1
2011-01-01,Netherlands,Miscellaneous,New,34.4,1,32,1
2011-01-01,Netherlands,Miscellaneous,Repeat,1980.6200000000001,3,1606,1
2011-01-01,Netherlands,Party & Gift,Repeat,287.22,2,174,1
2011-01-01,Netherlands,Stationery & Crafts,New,10.08,1,24,1
2011-01-01,Netherlands,Stationery & Crafts,Repeat,1180.98,3,1854,1
2011-01-01,Netherlands,Storage & Organization,New,60.0,1,48,1
2011-01-01,Netherlands,Storage & Organization,Repeat,14712.64,4,10336,1
2011-01-01,Netherlands,Toys & Kids,Repeat,745.52,3,964,1
2011-01-01,Poland,Garden & Outdoor,Repeat,12.5,1,10,1
2011-01-01,Poland,Home Decor & Lighting,Repeat,287.55,1,97,1
2011-01-01,Poland,Kitchen & Dining,Repeat,97.02000000000001,1,94,1
2011-01-01,Poland,Miscellaneous,Repeat,135.9,1,62,1
2011-01-01,Poland,Party & Gift,Repeat,10.0,1,8,1
2011-01-01,Poland,Storage & Organization,Repeat,70.25,1,17,1
2011-01-01,Portugal,Accessories & Fashion,Repeat,37.5,2,18,2
2011-01-01,Portugal,Fees & Adjustments,New,324.0,1,18,1
2011-01-01,Portugal,Fees & Adjustments,Repeat,252.0,3,9,3
2011-01-01,Portugal,Home Decor & Lighting,New,860.24,1,748,1
2011-01-01,Portugal,Home Decor & Lighting,Repeat,389.32,3,192,3
2011-01-01,Portugal,Kitchen & Dining,New,930.38,1,322,1
2011-01-01,Portugal,Kitchen & Dining,Repeat,269.85,2,105,2
2011-01-01,Portugal,Miscellaneous,New,47.4,1,36,1
2011-01-01,Portugal,Miscellaneous,Repeat,191.16,3,118,3
2011-01-01,Portugal,Stationery & Crafts,New,20.8,1,32,1
2011-01-01,Portugal,Stationery & Crafts,Repeat,142.16,2,160,2
2011-01-01,Portugal,Storage & Organization,New,13.2,1,24,1
2011-01-01,Portugal,Storage & Organization,Repeat,487.1,3,272,3
2011-01-01,Portugal,Toys & Kids,New,75.60000000000001,1,36,1
2011-01-01,Portugal,Toys & Kids,Repeat,15.0,1,4,1
2011-01-01,Singapore,Garden & Outdoor,New,37.5,1,18,1
2011-01-01,Singapore,Home Decor & Lighting,New,347.4,1,120,1
2011-01-01,Singapore,Kitchen & Dining,New,331.5,1,238,1
2011-01-01,Singapore,Miscellaneous,New,529.0,1,106,1
2011-01-01,Singapore,Party & Gift,New,20.16,1,96,1
2011-01-01,Singapore,Stationery & Crafts,New,173.04000000000002,1,120,1
2011-01-01,Singapore,Storage & Organization,New,524.77,1,359,1
2011-01-01,Singapore,Toys & Kids,New,89.7,1,34,1
2011-01-01,Spain,Accessories & Fashion,New,110.7,4,34,3
2011-01-01,Spain,Fees & Adjustments,New,224.0,3,8,3
2011-01-01,Spain,Fees & Adjustments,Repeat,168.0,1,6,1
2011-01-01,Spain,Garden & Outdoor,New,133.60000000000002,3,28,2
2011-01-01,Spain,Garden & Outdoor,Repeat,120.16,1,32,1
2011-01-01,Spain,Holiday & Seasonal,New,42.45,2,15,2
2011-01-01,Spain,Home Decor & Lighting,New,1035.68,5,620,4
2011-01-01,Spain,Home Decor & Lighting,Repeat,152.17,2,133,2
2011-01-01,Spain,Kitchen & Dining,New,1455.05,4,391,3
2011-01-01,Spain,Kitchen & Dining,Repeat,3779.9700000000003,3,1079,3
2011-01-01,Spain,Miscellaneous,New,673.75,4,274,3
2011-01-01,Spain,Miscellaneous,Repeat,50.1,2,22,2
2011-01-01,Spain,Party & Gift,New,149.5,3,54,2
2011-01-01,Spain,Party & Gift,Repeat,68.89999999999999,2,42,2
2011-01-01,Spain,Stationery & Crafts,New,411.40000000000003,5,332,4
2011-01-01,Spain,Stationery & Crafts,Repeat,168.02,2,143,2
2011-01-01,Spain,Storage & Organization,New,1113.54,5,542,4
2011-01-01,Spain,Storage & Organization,Repeat,154.04999999999998,2,71,2
2011-01-01,Spain,Toys & Kids,New,59.2,3,16,2
2011-01-01,Spain,Toys & Kids,Repeat,15.85,1,3,1
2011-01-01,Sweden,Fees & Adjustments,New,200.0,1,5,1
2011-01-01,Sweden,Home Decor & Lighting,New,132.84,1,132,1
2011-01-01,Sweden,Home Decor & Lighting,Repeat,517.6800000000001,1,456,1
2011-01-01,Sweden,Miscellaneous,New,101.72,1,104,1
